"Gene ID"	"Mouse_resection_12hr_1"	"Mouse_resection_12hr_2"	"Mouse_resection_12hr_3"	"Mouse_resection_24hr_1"	"Mouse_resection_24hr_2"	"Mouse_resection_24hr_3"	"Mouse_resection_48hr_1"	"Mouse_resection_48hr_2"	"Mouse_resection_48hr_3"	"Mouse_sham_12hr_1"	"Mouse_sham_12hr_2"	"Mouse_sham_12hr_3"	"Mouse_sham_24hr_1"	"Mouse_sham_24hr_2"	"Mouse_sham_24hr_3"	"Mouse_sham_48hr_1"	"Mouse_sham_48hr_2"	"Mouse_sham_48hr_3"
"ENSMUSG00000045339"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045340"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045341"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045345"	1	5	1	3	0	2	3	1	0	6	1	0	6	5	1	4	0	4
"ENSMUSG00000045348"	42	47	45	28	11	19	26	47	56	59	11	15	42	62	34	30	9	38
"ENSMUSG00000045349"	37	32	62	13	8	12	6	7	18	16	5	3	4	4	7	3	1	2
"ENSMUSG00000045350"	1	4	1	7	3	0	8	4	6	7	4	1	5	12	3	4	1	2
"ENSMUSG00000045362"	111	25	72	71	22	60	53	43	64	74	12	17	23	45	18	68	11	52
"ENSMUSG00000045364"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045374"	159	172	204	244	100	133	177	246	345	411	146	97	273	310	138	279	68	383
"ENSMUSG00000045377"	206	421	402	460	113	192	331	397	586	862	274	272	556	605	290	870	120	904
"ENSMUSG00000045378"	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSMUSG00000045382"	195	141	257	158	79	120	198	138	342	402	75	123	180	239	80	417	54	405
"ENSMUSG00000045391"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"ENSMUSG00000045392"	10	2	8	6	3	1	0	2	2	1	1	0	2	0	0	0	0	0
"ENSMUSG00000045394"	96	4	14	8	2	29	1	6	26	11	1	0	0	1	0	1	0	11
"ENSMUSG00000045395"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045404"	9	6	14	15	4	6	8	9	37	3	5	1	2	4	4	12	3	7
"ENSMUSG00000045409"	271	311	573	209	117	214	363	362	478	638	223	204	347	569	205	620	126	487
"ENSMUSG00000045410"	133	101	143	244	119	111	316	72	138	397	107	163	259	379	80	453	76	484
"ENSMUSG00000045411"	279	327	470	235	91	314	450	415	581	675	197	233	365	503	187	680	132	698
"ENSMUSG00000045414"	889	1285	2014	967	663	599	2089	2162	3329	2435	905	965	1529	2210	1130	2406	580	2728
"ENSMUSG00000045417"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045421"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"ENSMUSG00000045427"	651	922	1711	790	489	500	1111	1178	1891	1866	613	667	955	1313	670	1651	344	1562
"ENSMUSG00000045435"	118	128	151	220	73	89	233	280	405	309	116	148	175	225	132	296	76	353
"ENSMUSG00000045438"	335	516	1146	574	228	258	714	718	1255	1029	335	415	567	838	439	1081	191	1160
"ENSMUSG00000045440"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045441"	26	29	92	15	25	23	38	39	53	109	31	17	54	58	70	90	7	58
"ENSMUSG00000045455"	2	8	3	10	3	1	16	10	22	9	9	6	6	10	17	12	6	24
"ENSMUSG00000045463"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045464"	14	13	29	16	11	21	27	40	48	71	23	22	34	52	22	53	2	44
"ENSMUSG00000045466"	23	23	21	19	4	4	11	17	18	25	12	6	21	13	10	24	5	29
"ENSMUSG00000045467"	5	5	6	1	2	2	7	3	11	12	3	3	4	10	6	5	0	8
"ENSMUSG00000045471"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045474"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045475"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045479"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045482"	1473	2211	2456	1127	926	1518	2129	2683	3051	4438	1546	1599	2256	3419	1838	2899	748	4091
"ENSMUSG00000045493"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045498"	9	23	44	15	11	7	20	33	42	52	12	15	27	52	14	51	18	32
"ENSMUSG00000045502"	9	2	2	2	0	48	3	0	5	5	0	0	0	0	1	1	1	0
"ENSMUSG00000045503"	87	156	114	153	49	77	144	144	228	240	83	93	133	195	97	117	32	264
"ENSMUSG00000045506"	3	3	1	3	1	11	5	9	7	6	3	6	9	15	6	2	2	5
"ENSMUSG00000045508"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000045509"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
